smiles,lumo,gap,energy,ionization_potential aip,electron_affinity aea
c1cc2sc3c([nH]c4[nH]c5c([nH]c6c5sc5c6sc6ccc7nsnc7c65)c43)c2s1,-8.41849479,1.68519149,-80.50000612,11.19937821,-7.03867651
c1cc2c3nc4ccc5c6c(sc5c4nc3c3ccsc3c2s1)-c1sc2c(sc3ccc4nsnc4c32)c1C6,-9.0312413,1.5617421,-101.6635388,11.43351952,-7.987634084
c1cc2[nH]c3[se]c4c([nH]c5c6nsnc6c6[se]c7ccsc7c6c54)c3c2s1,-8.28094915,1.89133138,-71.85319629,11.31920579,-6.789885945
c1ccc2c(c1)ccc1c3c(sc12)-c1[se]ccc1C3,-8.07004584,2.34685513,-48.37139028,11.95418734,-6.548152384
c1cc2c3nc4c5nsnc5c5nsnc5c4nc3c3c([nH]c4sc5cc[se]c5c43)c2s1,-8.82314801,1.95508557,-85.42862856,11.76211187,-7.647743289
c1ccc2c(c1)c1ccccc1c1nc3c(nc21)c1sccc1c1c3sc2c3sc4c5[nH]ccc5[nH]c4c3sc21,-8.53424133,1.76219847,-102.8125773,11.06872159,-7.423285703
c1ccc2c(c1)sc1c2sc2c1sc1c3c(c4nsnc4c12)-c1sc2c(sc4cc5c(cc42)[nH]c2cc[se]c25)c1CO3,-8.77873535,1.37201922,-111.3278118,11.03440039,-7.634065751
c1ccc2c(c1)[nH]c1cc3c(cc12)-c1sc2cc4ccc5nsnc5c4cc2c1C3,-8.64265481,1.9637477,-76.85474549,11.672262,-7.438142583
c1cc2[se]c3c(sc4c5[nH]c6[nH]c7ccc8n[se]nc8c7c6c5sc43)c2s1,-8.36190056,1.72533935,-71.83955401,11.25256017,-6.93276838
c1cc2sc3cscc3c2s1,-7.76358864,2.7106472,-30.1367523,12.65978412,-5.491112218
C1=Cc2cc3sc4c(sc5c6[nH]c7c(c6sc54)C=CC7)c3cc2C1,-7.91319064,2.23309417,-62.49220061,11.41393629,-6.564591608
C1=Cc2[nH]c3c(sc4c5cc6sc7c(c6cc5sc34)Cc3c-7sc4c3sc3ccsc34)c2C1,-8.27556552,1.70593071,-86.29140909,10.99277348,-7.115082583
c1ccc2c(c1)Cc1cc3c(cc1-2)Cc1c-3sc2c1sc1c3sccc3sc21,-8.30233987,2.0169454,-72.02165378,11.50456767,-7.011038163
c1cc2oc3c(c2[nH]1)Cc1c-3sc2c1sc1c3c(sc12)-c1sccc1C3,-8.18792889,1.69421204,-69.8040736,11.2722185,-6.694913261
c1cc2c([nH]c3c2sc2c4nsnc4c4[nH]c5c6sc7c8sccc8sc7c6sc5c4c32)s1,-8.48802541,1.89345024,-88.41205913,11.29361047,-7.255173129
c1ccc2c(c1)sc1c3nsnc3c3sc4[nH]c5c6sccc6sc5c4c3c21,-8.65972882,1.9531967,-74.11842048,11.70310912,-7.159657578
c1ccc2c(c1)[nH]c1c3c(sc12)-c1sc2c(sc4ccccc42)c1C3,-8.25200621,1.99890505,-64.63448942,11.5400878,-6.790993721
C1=Cc2c3c(c4nc5c(nc4c2C1)Cc1ccccc1-5)Cc1c-3sc2c1sc1c3sccc3c3nsnc3c21,-8.8729044,1.70436092,-100.6512701,11.45180068,-7.859704585
C1=Cc2cc3c4c(ccc3cc2C1)Cc1c-4sc2c1sc1c3ccccc3c3nsnc3c21,-8.77586513,1.76781396,-84.22569654,11.63681371,-7.612915146
c1ccc2c3c(sc2c1)-c1sc2c(sc4ccc5c(c42)-c2sccc2OC5)c1CO3,-8.38822779,1.81319022,-81.43308871,11.39391333,-7.10900274
c1cc2c([nH]1)c1nsnc1c1sc3cc4c(cc3c21)Cc1cc[se]c1-4,-8.54789959,1.9601557,-65.34447799,11.72069639,-7.030687515
c1ccc2cc3c(cc2c1)sc1c3ccc2c1ccc1sc3ccsc3c12,-8.32339588,2.29044197,-68.33510416,11.69892074,-7.165754292
c1ccc2c(c1)sc1c2sc2c3[nH]c4c5cc6[nH]c7c8c(sc7c6cc5c5nsnc5c4c3sc21)-c1sccc1C8,-8.46438861,1.7770053,-107.0004858,11.0604681,-7.57190158
c1ccc2nc3c(nc2c1)c1[nH]c2c4ccsc4[nH]c2c1c1ccsc13,-8.64455874,1.81822288,-67.85225878,11.549919,-6.976871529
c1cc2[nH]c3c(sc4c3sc3c5[nH]c6c7c(sc6c5sc34)-c3[nH]c4sc5c6sccc6[se]c5c4c3C7)c2s1,-7.90136867,1.78683221,-100.7667409,10.56855075,-6.948948007
c1ccc2c(c1)CC1=C2COC2=C1COc1cc3c(cc12)sc1ccsc13,-8.4995339,1.64684616,-72.98861504,11.51019798,-7.021630744
c1ccc2c(c1)sc1c2[nH]c2ccc3c(c21)-c1cc2sccc2cc1C3,-8.06889819,2.31329085,-66.2641246,11.58087007,-6.748768159
c1ccc2c(c1)Cc1nc3c(nc1-2)c1sc2c4ccc5nsnc5c4sc2c1c1c3sc2c3cc4sc5c6c(sc5c4cc3sc21)-c1[nH]ccc1C6,-8.69539003,1.74317396,-134.5508116,11.01151588,-7.988929347
c1ccc2c3c(sc2c1)C1=C(C3)C2=C(C1)c1c([nH]c3ccsc13)C2,-8.09132136,1.69251823,-61.97581818,11.29812267,-6.569430339
c1ccc2c(c1)Cc1nc3c(nc1-2)c1c([nH]c2ccsc21)c1sc2c4sc5ccsc5c4sc2c31,-8.45602842,1.87948794,-91.11549679,11.23252251,-7.273086394
C1=Cc2sc3ccc4sc5c6n[nH]nc6c6[nH]c7sc8c9[nH]ccc9[nH]c8c7c6c5c4c3c2C1,-8.02345223,2.00767625,-89.5800876,11.05671782,-6.78496177
c1ccc2c(c1)ccc1c3[nH]c4c5cc6sc7cc[se]c7c6cc5[se]c4c3sc21,-8.04348095,2.18935383,-73.99052611,11.23592421,-6.962004308
c1cc2sc3[nH]c4c5n[nH]nc5c5[nH]c6ccsc6c5c4c3c2s1,-7.66492062,2.51483632,-64.65614315,11.39779884,-6.350559252
c1cc2sc3c(sc4[nH]c5c6[nH]c7c8nsnc8c8sccc8c7c6sc5c43)c2[nH]1,-8.27466663,1.93686883,-80.51702579,11.21018114,-6.899946534
C1=Cc2[nH]c3c(sc4c3sc3c5sc6ccc7nsnc7c6c5[se]c43)c2C1,-8.62946996,1.59852279,-71.64057791,11.4926752,-7.204191483
c1cc2c(s1)c1n[se]nc1c1[nH]c3c4c(sc3c21)-c1sc2ccc3nsnc3c2c1C4,-8.93021785,1.55634135,-82.24893417,11.66543874,-7.711430483
c1cc2sc3cc4c(cc3c2s1)sc1c4[nH]c2c1[nH]c1ccsc12,-7.85646914,2.20182298,-63.55965871,11.29238678,-6.444514774
C1=Cc2sc3c(sc4c3sc3c5sc6ccsc6c5sc43)c2OC1,-8.33117967,1.81061867,-66.05530661,11.46818875,-6.826435481
c1ccc2c(c1)COC1=C2Cc2c1sc1c2sc2c3cc4c(cc3sc12)c1n[nH]nc1c1[nH]c2c([nH]c3ccsc32)c41,-8.35217109,1.7454733,-111.2258701,10.8733138,-7.372080106
c1cc2[nH]c3[nH]c4c(sc5c6n[nH]nc6c6sc7ccsc7c6c45)c3c2s1,-7.88403773,2.27005447,-72.57881562,11.29786497,-6.614168057
c1cc2nc3c(nc2cn1)c1sc2c4cc5c(cc4sc2c1c1ccsc13)-c1ccsc1OC5,-9.04673087,1.67860642,-89.98572654,11.52572154,-7.671447412
c1cc2c3n[se]nc3c3c4[nH]c5c(sc6c7sccc7sc56)c4sc3c2[nH]1,-8.43615378,1.68602169,-72.20660561,11.37712688,-6.948128127
C1=Cc2sc3c([nH]c4c5[nH]c6c(c5sc43)Cc3ccsc3-6)c2C1,-7.82494093,1.92667025,-60.90762607,11.22269375,-6.382898096
C1=Cc2sc3c([nH]c4sc5c(c43)Cc3c-5[nH]c4ccsc34)c2C1,-7.53496574,2.26280587,-60.90589321,11.17483734,-6.28716431
c1cc2c([nH]1)C1=C(C2)C2=C(OC1)c1sc3c(sc4ccsc43)c1C2,-8.26317098,1.36944187,-65.07950386,11.23403438,-6.576342851
c1ccc2c3c(sc2c1)-c1[se]c2c4c(sc2c1C3)-c1ccc2n[se]nc2c1C4,-8.82782055,1.47517784,-72.36032013,11.56890276,-7.42921942
C1=Cc2c(c3nc4c5ccccc5c5ccccc5c4nc3c3sc4c5sc6c([nH]c7sc8ccsc8c76)c5sc4c23)C1,-8.64220742,1.79686,-110.1873602,11.07781427,-7.608716155
C1=Cc2[nH]c3c(sc4c5cc6sc7[nH]c8ccc9sccc9c8c7c6cc5sc34)c2C1,-7.84117088,2.16374652,-80.53307666,11.0410446,-6.794693383
c1ccc2c(c1)[se]c1c2sc2c1sc1c3n[se]nc3c3c(c12)-c1[nH]c2c4sc5c6[nH]ccc6sc5c4c4nsnc4c2c1C3,-8.78332099,1.45441961,-115.2941585,11.12907048,-7.745403643
c1ccc2c(c1)Cc1c-2c2sccc2c2sc3c(c12)Cc1c-3sc2c1[se]c1c2oc2c3ccccc3[se]c21,-8.27667912,1.88905626,-97.73024652,11.0875584,-7.303680715
c1cc2[se]c3c([nH]c4c5sc6cc7c(cc6c5sc43)c3nc4c(ccc5nsnc54)nc3c3ccsc73)c2[nH]1,-8.5668125,1.79253025,-101.8969212,11.13726656,-7.589361231
C1=Cc2c(ccc3sc4c5c(sc4c23)-c2[se]ccc2C5)C1,-8.12964785,2.08767397,-54.18099025,11.68392045,-6.568629779
C1=Cc2[nH]c3c(c2C1)Cc1cc2c(cc1-3)sc1c3occc3sc21,-7.97951343,2.11904443,-63.49723924,11.47827765,-6.547737411
c1ccc2c(c1)sc1c3cc4[nH]c5cc6cc[se]c6cc5c4cc3sc21,-8.11816185,2.26115199,-66.42242731,11.43243895,-6.81556371
c1cc2c(s1)c1nsnc1c1sc3[nH]c4c([nH]c5ccsc54)c3c21,-8.4692919,1.95597352,-64.60856708,11.68873714,-6.809773941
c1ccc2c(c1)[nH]c1sc3ccc4sc5ccsc5c4c3c12,-7.80870891,2.55959495,-57.21240807,11.73313227,-6.344089742
c1ccc2c(c1)sc1cc3c(cc12)Cc1c-3[se]c2[nH]c3ccsc3c12,-7.80974874,2.41542467,-64.28399312,11.38485982,-6.545002665
c1nnc2c(n1)c1sc3ccsc3c1c1c3[nH]c4c5cc[nH]c5sc4c3sc21,-8.5593142,1.78839177,-74.68452436,11.44000971,-7.008558116
c1ccc2c(c1)sc1c3nsnc3c3sc4c(sc5[nH]c6ccsc6c54)c3c21,-8.64703455,1.90880738,-74.12006522,11.68088693,-7.156498606
c1cc2[nH]c3sc4c5sc6ccc7c(c6c5sc4c3c2[nH]1)-c1sc2c(sc3ccsc32)c1C7,-8.02557674,1.96446707,-86.84986415,10.95725662,-6.791169234
c1ccc2c3c(sc2c1)C1=C(C3)c2[se]c3c([se]c4ccsc43)c2C1,-8.30373965,1.62925529,-61.76111397,11.36133992,-6.746717236
c1cc2sc3c([se]c4c5sc6[nH]c7ccc8n[se]nc8c7c6c5[se]c34)c2[nH]1,-8.3021232,1.70739946,-71.50013198,11.17381038,-6.826595212
c1cc2c(s1)-c1cc3[nH]c4ccsc4c3cc1C2,-7.81737712,2.50663198,-47.15710007,11.85906364,-6.117949947
c1cc2cc3[nH]c4ccc5sc6ccsc6c5c4c3cc2[nH]1,-7.84022109,2.38155587,-57.27062027,11.53378509,-6.281547605
c1cc2[se]c3c4cc5[nH]c6c7sccc7sc6c5cc4sc3c2[nH]1,-7.81407745,2.16110148,-63.2220095,11.19029151,-6.358498995
C1=Cc2[nH]c3c([se]c4c5[nH]c6c(c5sc34)Cc3ccsc3-6)c2C1,-7.72678736,1.90842498,-60.56115174,11.09828024,-6.284424666
c1cc2c([nH]c3cc4c(cc32)[nH]c2c4sc3c4nsnc4c4sccc4c23)s1,-8.52448913,1.87412798,-74.17226822,11.51960768,-7.082441148
C1=Cc2sc3cc4cc5c(cc4cc3c2OC1)sc1c2[nH]c3ccsc3c2sc51,-8.39373049,1.61738809,-77.25457194,11.1660652,-7.04431961
c1cc2cc3[nH]c4c(c3cc2s1)Cc1cc2c(cc1-4)sc1ccc3nc4c5nsnc5c5nsnc5c4nc3c12,-9.02072001,1.71395031,-104.3696641,11.54241383,-8.022654067
c1ccc2c(c1)sc1c3sc4c5sc6ccsc6c5c5nsnc5c4c3[se]c21,-8.8080988,1.72150432,-73.7458896,11.70188379,-7.329736719
c1cc2sc3c4[nH]c5c([nH]c6sc7c8ccc9nsnc9c8sc7c65)c4[nH]c3c2s1,-8.38916152,1.78959713,-80.49755517,11.22383881,-7.065648177
C1=Cc2sc3c4c(sc3c2C1)-c1[nH]c2c(sc3cc[nH]c32)c1CO4,-7.94644548,1.73885736,-65.62604911,11.17491707,-6.36029277
c1cc2sc3cc4c(cc3c2[nH]1)sc1c4[nH]c2sc3ccsc3c21,-7.59208344,2.53594779,-63.56566675,11.28996932,-6.300009179
c1ccc2c(c1)sc1c3c(sc12)C1=C(OC3)c2sc3cc4ccsc4cc3c2CO1,-8.61336275,1.38089142,-81.42774065,11.33180058,-7.197492308
C1=Cc2sc3c(sc4ccc5sc6c(c5c43)Cc3[nH]ccc3-6)c2C1,-7.98316724,2.10710817,-62.50169167,11.43090341,-6.480205247
c1cc2c(ccc3sc4c5sc6c([nH]c7c6sc6cc[se]c67)c5sc4c32)s1,-8.0826845,2.01596576,-71.10762837,11.2540353,-6.774149864
c1ccc2c(c1)COc1c-2c2c3c(sc2c2nsnc12)-c1[se]c2c(sc4ccccc42)c1C3,-8.76375202,1.78311959,-86.95970178,11.5940861,-7.525830775
C1=Cc2sc3c(c2CO1)Cc1c-3sc2c1[nH]c1[nH]c3ccccc3c12,-7.85865769,1.8466411,-67.2392543,11.15673495,-6.413280985
C1=Cc2sc3c(c2C1)Cc1c-3[nH]c2c1sc1c3sccc3sc21,-8.0460696,1.82140765,-60.87497356,11.35812489,-6.546734943
c1ccc2c(c1)ccc1c2sc2c3cc4sc5cc[nH]c5c4cc3sc12,-8.08593956,2.3290448,-66.76439719,11.52893221,-6.841849378
C1=Cc2[nH]c3c(c2C1)C1=C(Cc2c1[nH]c1c2sc2ccsc21)OC3,-7.42927731,2.23437196,-65.10297278,11.09804568,-6.203192922
c1cc2c([nH]1)[nH]c1c2sc2c3cc4sc5ccsc5c4cc3sc12,-7.79756957,2.25532346,-63.56121766,11.25884628,-6.30662427
c1ccc2c(c1)ccc1nc3c(nc12)c1[nH]c2sc4ccsc4c2c1c1c3sc2c3[nH]ccc3sc21,-8.5920342,1.82832305,-93.27151078,11.19508289,-7.293342832
C1=CC2=C(C1)c1c(c3n[se]nc3c3sc4c(sc5c6[nH]ccc6[se]c54)c13)C2,-8.57136708,1.70093594,-70.78269075,11.40689643,-7.040499673
c1cc2c([nH]1)C1=C(C2)c2sc3c(sc4cc5cc[se]c5cc43)c2C1,-8.07832957,1.77113627,-62.14928694,11.24009,-6.560454931
c1cc2cc3c(cc2s1)-c1c(c2n[se]nc2c2c1ccc1n[se]nc12)C3,-9.17746042,1.69438987,-67.6005916,12.01492754,-7.576872286
