idx,smiles
1,A)!CF=================================================================
2,A)!CG=================================================================
3,A)!CH=================================================================
4,A_)!CF5!CF============================================================
5,A_)!CF5!CG============================================================
6,A_)!CF4!CH============================================================
7,A-)!CF!CF=============================================================
8,A-)!CF!CH=============================================================
9,A_-)!CF!CF5!CF========================================================
10,A_-)!CF!CF5!CG========================================================
11,A_-)!CF!CF4!CH========================================================
12,A_-)!CG!CF4!CH========================================================
13,A--)!CF!CF!CF=========================================================
14,A--)!CF!CF!CH=========================================================
15,A--)!CF!CH!CF=========================================================
16,A--)@CF[8l!CF@CF[8l===================================================
17,A--)@CF[8l!CF@CH[8l===================================================
18,A_-)!CF#CF&*)!CF4!CH==================================================
19,A_-)!CF#CF&*)!CG4!CH==================================================
20,A_-)!CG#CF&*)!CG4!CH==================================================
21,A--)!CF#CF&*)!CF!CF===================================================
22,A--)!CF#CF&*)!CF!CH===================================================
23,A_-_)!CF5!CF!CF5!CF===================================================
24,A_-_)!CF5!CF!CF5!CG===================================================
25,A_-_)!CG5!CF!CF5!CG===================================================
26,A_-_)!CH4!CF!CF5!CF===================================================
27,A_-_)!CH4!CF!CF5!CG===================================================
28,A_-_)!CH4!CF!CF4!CH===================================================
29,A-_-)!CF!CF5!CF!CF====================================================
30,A_--)!CF!CF!CF5!CF====================================================
31,A_--)!CF!CF!CF5!CG====================================================
32,A_--)!CG!CF!CF5!CG====================================================
33,A_--)!CH!CF!CF5!CF====================================================
34,A_--)!CH!CF!CF5!CG====================================================
35,A_--)!CF!CF!CF4!CH====================================================
36,A_--)!CF!CG!CF4!CH====================================================
37,A_--)!CF!CH!CF4!CH====================================================
38,A_--)!CH!CF!CF4!CH====================================================
39,A---)!CF!CF!CF!CF=====================================================
40,A---)!CF!CF!CF!CH=====================================================
41,A---)!CF!CF!CH!CF=====================================================
42,A---)!CH!CF!CF!CH=====================================================
43,A---)!CF@CF[8l!CF@CF[8l===============================================
44,A---)!CF@CF[8l!CF@CH[8l===============================================
