smiles,homo,lumo,gap
C,-0.3877,0.1171,0.5048
N,-0.257,0.0829,0.3399
O,-0.2928,0.0687,0.3615
C#C,-0.2845,0.0506,0.3351
C#N,-0.3604,0.0191,0.3796
C=O,-0.267,-0.0406,0.2263
CC,-0.3385,0.1041,0.4426
CO,-0.2653,0.0784,0.3437
CC#C,-0.2609,0.0613,0.3222
CC#N,-0.3264,0.0376,0.364
CC=O,-0.254,-0.0198,0.2342
C(=O)N,-0.2543,0.0302,0.2845
CCC,-0.323,0.0949,0.4179
CCO,-0.2619,0.0798,0.3417
COC,-0.2525,0.091,0.3435
C1CC1,-0.2888,0.1042,0.393
C1CO1,-0.2682,0.1042,0.3724
CC(=O)C,-0.2431,-0.0087,0.2344
CC(=O)N,-0.2436,0.0347,0.2783
C(=O)(N)N,-0.2495,0.0556,0.3051
CC(C)C,-0.3167,0.0843,0.401
CC(C)O,-0.2612,0.074,0.3351
C#CC#C,-0.2599,-0.0214,0.2386
C#CC#N,-0.3102,-0.0543,0.2559
C(#N)C#N,-0.3696,-0.0926,0.277
C#CC=O,-0.2777,-0.0735,0.2042
C(=O)C#N,-0.3166,-0.11,0.2066
C(=O)C=O,-0.2668,-0.1113,0.1555
CC#CC,-0.2412,0.0684,0.3096
CCC#C,-0.2592,0.0566,0.3157
CCC#N,-0.3213,0.034,0.3553
C(C#N)N,-0.2683,0.0173,0.2855
C#CCO,-0.2595,0.0277,0.2872
C(C#N)O,-0.3018,0.0022,0.3039
CCC=O,-0.25,-0.0205,0.2295
CNC=O,-0.2516,0.0335,0.2851
COC=O,-0.2814,0.0074,0.2888
C(C=O)O,-0.2537,-0.0341,0.2196
CCCC,-0.317,0.0937,0.4107
CCCO,-0.2619,0.081,0.3429
CCOC,-0.2503,0.0925,0.3428
C(CO)O,-0.2594,0.0584,0.3179
CC1CC1,-0.2727,0.1012,0.3738
CC1CO1,-0.2633,0.1052,0.3685
CN1CC1,-0.2304,0.0968,0.3271
C1CC1O,-0.239,0.0775,0.3166
C1CCC1,-0.2982,0.0956,0.3938
C1COC1,-0.2424,0.0859,0.3283
CC(=NO)C,-0.2392,0.0192,0.2584
c1cc[nH]c1,-0.2029,0.0499,0.2528
c1cnc[nH]1,-0.2253,0.0332,0.2585
c1ccoc1,-0.2246,0.0199,0.2445
c1cocn1,-0.2509,0.001,0.2519
CC(C)(C)C,-0.3145,0.0737,0.3882
CC(C)(C)O,-0.2601,0.0664,0.3265
CC(=O)C#C,-0.2654,-0.0575,0.2079
CC(=O)C#N,-0.3007,-0.0889,0.2118
C(#N)C(=N)N,-0.2739,-0.0438,0.2301
C#CC(=O)N,-0.2629,-0.0277,0.2352
CC(=O)C=O,-0.2538,-0.0964,0.1574
C(=O)C(=N)N,-0.2561,-0.064,0.192
C(=O)C(=O)N,-0.2533,-0.0763,0.177
CC(C)C#C,-0.2589,0.0571,0.316
CC(C)C#N,-0.318,0.0365,0.3545
CC(N)C#N,-0.2704,0.0278,0.2983
CC(O)C#C,-0.2665,0.0336,0.3001
CC(O)C#N,-0.3051,0.0115,0.3166
CC(C)C=O,-0.2469,-0.0188,0.2281
CC(O)C=O,-0.255,-0.0279,0.2271
CN(C)C=O,-0.2424,0.0327,0.2751
CC(=O)CO,-0.2699,-0.0262,0.2437
CCC(=O)C,-0.2423,-0.0072,0.2351
CCC(=O)N,-0.2438,0.0355,0.2793
CC(=O)NC,-0.2418,0.0387,0.2805
CNC(=O)N,-0.2436,0.0599,0.3034
COC(C)=N,-0.2595,0.0352,0.2948
CC(=O)OC,-0.2685,0.0174,0.2859
COC(=O)N,-0.2669,0.0575,0.3244
C(C(=O)N)O,-0.246,0.0273,0.2733
[NH3+]CC([O-])=O,-0.2527,0.0208,0.2735
CC(C)CO,-0.2629,0.0789,0.3418
CC(O)CO,-0.2597,0.0631,0.3228
CCC(C)C,-0.3085,0.085,0.3934
CCC(C)O,-0.2617,0.0733,0.335
CC(C)OC,-0.2476,0.086,0.3336
CC1(CC1)C,-0.2633,0.0893,0.3526
CC1(CO1)C,-0.2596,0.091,0.3505
CC1(CC1)O,-0.2494,0.0776,0.327
N=C1CCO1,-0.263,0.0277,0.2907
C1CC(=O)C1,-0.2415,-0.0194,0.2222
C1CNC1=O,-0.25,0.038,0.288
C1COC1=O,-0.2788,0.0089,0.2878
C1C(=O)CN1,-0.2437,-0.0258,0.2179
C1C(=O)CO1,-0.2647,-0.0352,0.2295
CC1CCC1,-0.2896,0.0927,0.3823
CC1CCO1,-0.241,0.0915,0.3325
CC1COC1,-0.2419,0.0814,0.3233
C1CC(C1)O,-0.256,0.0801,0.3361
C1C(CO1)O,-0.2465,0.0604,0.3069
CC1CC1C,-0.2632,0.094,0.3573
CC1CC1O,-0.2518,0.0822,0.334
CC1CN1C,-0.2199,0.0931,0.313
CC1OC1C,-0.2573,0.0984,0.3557
OC1CC1O,-0.2369,0.0642,0.3011
C1C2CC1C2,-0.2974,0.1082,0.4056
C1C2CC1O2,-0.2352,0.0994,0.3346
C#CCC#C,-0.2633,0.0345,0.2978
C#CCC#N,-0.2911,0.0111,0.3022
C(C#N)C#N,-0.3494,-0.0151,0.3344
C#CCC=O,-0.2583,-0.0337,0.2245
C(C=O)C#N,-0.2868,-0.0568,0.23
C(=N)NC=O,-0.2491,-0.0216,0.2276
N=COC=O,-0.2934,-0.0298,0.2636
C(=O)NC=O,-0.2608,-0.0416,0.2191
CC#CC#C,-0.242,-0.0085,0.2335
CC#CC#N,-0.2871,-0.0377,0.2494
CC#CC=O,-0.2642,-0.0592,0.2051
CC#CCO,-0.2421,0.0368,0.2789
CCC#CC,-0.2401,0.0631,0.3033
CN=COC,-0.2481,0.0251,0.2732
CCCC#C,-0.2586,0.0583,0.3169
CCCC#N,-0.3185,0.0365,0.355
CNCC#N,-0.249,0.0208,0.2698
COCC#C,-0.2565,0.0324,0.2889
COCC#N,-0.2859,0.008,0.2939
C#CCCO,-0.2624,0.0549,0.3174
C(CO)C#N,-0.2914,0.0323,0.3237
CCCC=O,-0.2487,-0.0195,0.2292
CCNC=O,-0.2499,0.0335,0.2834
CCOC=O,-0.2778,0.0091,0.2868
COCC=O,-0.2577,-0.0282,0.2295
C(CO)C=O,-0.2536,-0.0285,0.225
CCCCC,-0.3105,0.0925,0.403
CCCCO,-0.2615,0.0813,0.3428
CCCOC,-0.25,0.0926,0.3426
CCOCC,-0.2483,0.0931,0.3414
COCCO,-0.261,0.0821,0.3431
C(CO)CO,-0.2607,0.0779,0.3386
C#CC1CC1,-0.2425,0.0503,0.2928
C#CC1CN1,-0.2422,0.0322,0.2744
C#CC1CO1,-0.265,0.0189,0.2839
C1CC1C#N,-0.2931,0.0289,0.322
N#CC1CN1,-0.2775,0.0076,0.2851
N#CC1CO1,-0.3077,-0.0072,0.3004
C1CC1C=O,-0.2486,-0.0157,0.2329
O=CC1CN1,-0.2639,-0.0381,0.2258
O=CC1CO1,-0.2636,-0.0418,0.2217
C1CN1C=O,-0.2555,-0.0013,0.2542
CCC1CC1,-0.2723,0.0986,0.3709
CCC1CO1,-0.2623,0.0976,0.3599
CCN1CC1,-0.2299,0.095,0.3249
COC1CC1,-0.244,0.0955,0.3395
C1CC1CO,-0.2601,0.079,0.339
OCC1CN1,-0.2436,0.0677,0.3113
OCC1CO1,-0.2641,0.0777,0.3418
C1CC=CC1,-0.2335,0.0325,0.2661
C1COC=N1,-0.2479,0.0241,0.272
C1C=CCO1,-0.2303,0.0188,0.2491
C1CCCC1,-0.3078,0.0844,0.3922
C1CCOC1,-0.2479,0.0825,0.3304
C1COCO1,-0.2572,0.0865,0.3437
C1C2CCC12,-0.2519,0.0987,0.3506
C1C2COC12,-0.2337,0.0853,0.319
C1CC2OC12,-0.2517,0.0951,0.3468
c1c[nH]nc1,-0.2438,0.0239,0.2677
c1cnn[nH]1,-0.2641,-0.0023,0.2618
c1[nH]ncn1,-0.2705,0.0059,0.2764
c1[nH]cnn1,-0.2551,0.0164,0.2715
c1cn[nH]n1,-0.2742,-0.0055,0.2687
c1cnoc1,-0.2677,-0.0138,0.2538
c1conn1,-0.2862,-0.044,0.2422
c1ncon1,-0.3054,-0.0335,0.2719
c1nnco1,-0.2889,-0.0178,0.2711
c1nnno1,-0.331,-0.0643,0.2667
c1cnon1,-0.3213,-0.0515,0.2698
c1nnon1,-0.3379,-0.0815,0.2563
n1nnon1,-0.3671,-0.1073,0.2598
CC(=NO)C#C,-0.2383,-0.0315,0.2068
CC(=NO)CO,-0.2502,0.0066,0.2567
CCC(=NO)C,-0.239,0.0173,0.2562
C1CC(=NO)C1,-0.2405,0.0074,0.2479
C1C(=NO)CN1,-0.23,0.0026,0.2326
C1C(=NO)CO1,-0.2498,-0.0046,0.2452
C(F)(F)(F)F,-0.4286,0.1935,0.6221
N=C1NC=CO1,-0.1947,0.0288,0.2235
N=C1OC=CO1,-0.2262,0.0118,0.238
c1c[nH]c(=O)[nH]1,-0.1951,0.0406,0.2357
c1coc(=O)[nH]1,-0.2215,0.0207,0.2422
c1coc(=O)o1,-0.253,0.0027,0.2556
Cc1ccc[nH]1,-0.1934,0.0496,0.243
Cc1ccco1,-0.2124,0.0239,0.2363
Cc1cnco1,-0.2364,0.0066,0.243
Cc1ncco1,-0.2371,0.0082,0.2453
c1cc([nH]c1)N,-0.185,0.0556,0.2406
c1cc(oc1)N,-0.1844,0.0397,0.2241
c1c(ocn1)N,-0.2049,0.0202,0.2251
c1coc(n1)N,-0.2088,0.0284,0.2373
c1cc([nH]c1)O,-0.1814,0.0635,0.2449
c1c([nH]cn1)O,-0.2022,0.0448,0.247
c1cnc([nH]1)O,-0.2051,0.0505,0.2555
Cc1cc[nH]c1,-0.1982,0.0533,0.2515
Cc1c[nH]cn1,-0.2157,0.0376,0.2533
Cc1ccoc1,-0.2183,0.025,0.2434
Cc1cocn1,-0.2395,0.0074,0.2468
c1c[nH]cc1N,-0.1741,0.0558,0.2299
c1c(nc[nH]1)N,-0.1849,0.0391,0.2241
c1cocc1N,-0.1947,0.029,0.2237
c1c(nco1)N,-0.2057,0.0107,0.2164
c1c[nH]cc1O,-0.1864,0.05,0.2364
c1c(nc[nH]1)O,-0.2006,0.0315,0.2321
c1c(nco1)O,-0.2242,0.001,0.2252
Cn1cccc1,-0.2006,0.0463,0.2469
Cn1ccnc1,-0.2216,0.0324,0.2541
c1ccccc1,-0.2475,0.0029,0.2503
c1ccncc1,-0.2518,-0.0225,0.2293
c1cnccn1,-0.2493,-0.0511,0.1982
c1cncnc1,-0.2531,-0.0415,0.2116
c1ncncn1,-0.2768,-0.0554,0.2214
CC(C)(C)C#C,-0.2585,0.0629,0.3214
CC(C)(C)C#N,-0.3156,0.0438,0.3594
CC(C)(C#N)N,-0.2675,0.0349,0.3024
CC(C)(C#C)O,-0.2589,0.0425,0.3014
CC(C)(C#N)O,-0.2931,0.0216,0.3148
CC(C)(C)C=O,-0.247,-0.0179,0.2291
CC(C)(C=O)O,-0.2523,-0.0258,0.2265
CC(C)(C)CO,-0.2638,0.0725,0.3363
CC(C)(CO)O,-0.2619,0.0727,0.3346
CCC(C)(C)C,-0.3031,0.0748,0.378
CCC(C)(C)O,-0.2601,0.0658,0.3259
CC(C)(C)OC,-0.2455,0.079,0.3245
CC#CC(=O)C,-0.2532,-0.0449,0.2082
CC#CC(=O)N,-0.2502,-0.016,0.2342
CC#CC(C)C,-0.2404,0.0633,0.3036
CC#CC(C)O,-0.2492,0.0416,0.2908
CC(=O)CC#C,-0.246,-0.0185,0.2275
CC(=O)CC#N,-0.274,-0.037,0.237
C#CCC(=O)N,-0.2498,0.0244,0.2742
C(C#N)C(=O)N,-0.2741,0.0051,0.2792
CC(=N)NC=O,-0.2611,-0.0177,0.2434
CC(=N)OC=O,-0.2723,-0.0251,0.2472
CC(=O)CC=O,-0.2505,-0.0381,0.2124
CC(=O)NC=N,-0.2397,-0.0114,0.2283
CC(=O)NC=O,-0.2511,-0.0298,0.2213
CC(=O)OC=N,-0.2768,-0.0235,0.2533
C(=O)NC(=N)N,-0.2336,-0.0146,0.2189
C(C=O)C(=O)N,-0.2502,-0.0278,0.2223
C(=N)NC(=O)N,-0.2443,0.0042,0.2484
C(=O)NC(=O)N,-0.2548,-0.0128,0.242
NC(=O)OC=N,-0.2743,0.0024,0.2767
CC(C)CC#C,-0.259,0.0553,0.3143
CC(C)CC#N,-0.3161,0.0346,0.3507
CC(O)CC#C,-0.2622,0.0545,0.3167
CC(O)CC#N,-0.2866,0.0348,0.3214
CN(C)CC#N,-0.2371,0.0217,0.2588
CC(C)CC=O,-0.2481,-0.0197,0.2284
CC(C)NC=O,-0.2484,0.0348,0.2832
CC(C)OC=O,-0.2748,0.0115,0.2863
CC(O)CC=O,-0.2437,-0.0204,0.2232
CN(C)CC=O,-0.2267,-0.0252,0.2016
CC(=O)CCO,-0.2458,-0.0111,0.2348
CCCC(=O)C,-0.2415,-0.0071,0.2345
CCCC(=O)N,-0.243,0.0359,0.2789
CCNC(=O)C,-0.2402,0.0381,0.2783
CCNC(=O)N,-0.2427,0.0598,0.3025
